fixed_y_n,id,species,alternate_nomenclature,category,common_name,functional_role,range,life_stage,body_size_mm,n_s_both,commonality,source,zone,habitat_notes,solitary_aggregating_colonial,mobile_or_sessile,preys_on,trophic_strategy,how_picky,eaten_by,non_trophic_epicommensal_w,mutualist_w,parasitized_by,unknown_symbiosis,parasitic_on,how_picky_symbiotically,notes,node_type,node_resolution,web_enter_code,enter_code_2,googled,justification,confidence,x41,clean_zone,kingdom,phylum,class,subclass,order,family,genus
Stomatopora granulata,794,Stomatopora cf. granulata,NA,bryozoan,NA,NA,NA,adult,2 - 200,Both,common,Light & Smith,low,shallow water,colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Stylochus californicus,2059,Stylochus califomicus,NA,turbellarian,NA,NA,Oregon to California,adult,NA,N,present,Light & Smith,all,"Occurs in association with bivalve mollusks, on which it feeds",solitary,mobile,bivalves,micropredator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
no idea what's wrong with this one (but doubled in WORMS),1577,Syllis elongata,NA,polychaete,NA,NA,Columbia River to Point Conception,adult,NA,N,common,Light & Smith,all,Common among algal holdfasts on rocky shores,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
no idea what's wrong with this one (but doubled in WORMS),1578,Syllis gracilis,NA,polychaete,NA,NA,Columbia River to Point Conception,adult,NA,N,present,Light & Smith,all,With algal holdfasts and in crevices in rocky habitats,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
no idea what's wrong with this one (but doubled in WORMS),960,Symplectoscyphus erectus,"Sertularella erecta, Amphisbetia",hydroid,NA,NA,southern California to the tropics,hydroid colony,10,S,present,Light & Smith,all,NA,colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
as is,589,Syndesmis sp.,NA,turbellarian,NA,NA,NA,adult,NA,Both,present,"Morris, Abbott, & Haderlie; Light & Smith",low to very low,commensal with urchins,solitary,mobile,NA,NA,obligate specialist,NA,Strongylocentrotus purpuratus,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Synidotea bicuspida,496,Synidotea bicuspata,NA,isopod,NA,NA,NA,adult,NA,N,rare,"Morris, Abbott, & Haderlie",low,among hydroids and bryozoans,solitary,mobile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Taeniastrotos californiensis,1180,Taeniastrotos califomiensis,NA,copepod,NA,invertebrate endoparasite,NA,adult,NA,NA,present,Light & Smith,all,On the barred sand bass,solitary,sessile,NA,parasite,specialist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Taliepus nuttallii,538,Taleipus nuttallii,NA,true crab,southern kelp crab,NA,NA,adult,NA,S,present,"Morris, Abbott, & Haderlie",low,clinging to brown macroalgae,solitary,mobile,"Macrocystis pyrifera, Egregia menszii",grazer,specialist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,2,fix,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Tanystylum californicum,1432,Tanystylum califomicum,NA,sea spider,NA,NA,Central and Southern California,adult,NA,Both,uncommon,Light & Smith,all,Infrequently collected; on the hydroid Aglaophenia;,solitary,mobile,NA,typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
no idea what's wrong with this one (but doubled in WORMS),1435,Tanystylum intermedium,NA,sea spider,NA,NA,Monterey Bay to Chile and the Galapagos,adult,NA,Both,unclear,Light & Smith,all,"in shallow depths,??",solitary,mobile,NA,typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Tedania (Tedania) obscurata,40,Tedania obscurata,NA,sponge,NA,NA,NA,adult,NA,Central,rare,Light & Smith,very low,NA,NA,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,confirm whether to include,Taxonomic,Species,NA,NA,NA,NA,NA,NA,very low,NA,NA,NA,NA,NA,NA,NA
Tegella armifera,826,Tegella armífera,NA,bryozoan,NA,NA,"Arctic seas, North Atlantic, Alaska, Oregon, California;",adult,2 - 200,Both,present,Light & Smith,all,intertidal in northern waters to >100 m in southern California if all are the same species,colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Tegella larusiensis,830,Tegella laruensis,T. armífera or T. cassidata,bryozoan,NA,NA,"central, southern California",adult,2 - 200,Both,present,Light & Smith,low,"encrusting, especially arenaceous worm tubes",colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
as is,980,Telesto sp.,NA,octocoral,NA,NA,Santa Barbara County,adult,45514,S,present,Light & Smith,low,exposed open coast situations,colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,12:44.9,low,NA,NA,NA,NA,NA,NA,NA
Terebratulina unguicula,890,Terebratulina unguícula,NA,brachiopod,NA,NA,Alaska to Baja California,adult,NA,Both,common,Light & Smith,very low,locally abundant in intertidal in areas of broken rocks,solitary,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,very low,NA,NA,NA,NA,NA,NA,NA
Thalamoporella californica,832,Thalamoporella califomica,NA,bryozoan,NA,NA,Monterey Bay and south,adult,2 - 200,Both,present,Light & Smith,all,"on kelp, other algal substrates",colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
as is,1459,Thalassacarus spp.,NA,mite,NA,NA,NA,adult,0.18-2,NA,unclear,Light & Smith,all,NA,solitary,mobile,NA,typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
not in WORMS,1532,Thalasselephas testaceus,NA,insect,NA,NA,NA,adult,NA,NA,present,Light & Smith,high,rocky shores,aggregating,mobile,detritus,detritivore,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,high,NA,NA,NA,NA,NA,NA,NA
not in WORMS,1533,Thalasselephas testaceus,NA,insect,NA,NA,NA,larvae,NA,NA,present,Light & Smith,high,rocky shores,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,high,NA,NA,NA,NA,NA,NA,NA
not in WORMS,1477,Thalassotrechus nigripennis,NA,insect,NA,NA,NA,adult,NA,NA,rare,Light & Smith,all,"exist throughout the intertidal zone, persisting in trapped air pockets at high tide and crawling about at low tide; in rock crevices",solitary,mobile,NA,detritivore,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Thinusa maritima,1522,Thinusa marítima,NA,insect,NA,NA,NA,adult,NA,NA,unclear,Light & Smith,all,NA,solitary,mobile,fly eggs and small insects and crustaceans,typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,L&S guessing on food habits,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Thylacodes squamigerus,250,Thylacodes squamigerous,Serpulorbis squamigerus,vermetid,scaled worm snail,NA,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie; MacGintie & MacGintie 1949; Hadfield 1967; Light & Smith",all,"upper surfaces of protected rocks; individuals north of Point Conception, aggregated South",aggregating,sessile,"zooplankton, phytoplankton",filter feeder,generalist,"Pisaster giganteus, Ceratostoma foliatum, Shaskyus festivus, Pterynotus trialatus","Opisthopus transversus, epiphytic: calyptraeid gastropods, nemerteans, sipunculids, polychaetes, and the ubiquitous nematodes, (attached:) , bryozoans, sponges, compound ascidians",NA,mystery trematode castrators (cercariae),NA,NA,NA,NA,Taxonomic,Species,3,fix,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Thylacodes squamigerus,1818,Thylacodes squamigerous,Serpulorbis squamigerus,vermetid,NA,NA,NA,larvae,scaled worm snail,Both,present,Light & Smith,all,larvae settle on bryozoans,aggregating,sessile,NA,unknown,generalist,NA,bryozoans,NA,NA,NA,NA,NA,NA,Taxonomic,Life Stage,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Thysanoessa spinifera,1425,Thysandessa spinifera,NA,euphausid,NA,zooplankton,Bering Sea to mid-Baja California,adult,16-25,Both,unclear,Light & Smith,all,neritic,solitary,mobile,NA,filter feeder,generalist,"fish, birds",NA,NA,dajid isopod parasitic castrator,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Tisbe furcata furcata,1116,Tisbe cf. furcata,NA,copepod,NA,zooplankton,cosmopolitan,adult,NA,Both,present,Light & Smith,all,"Eelgrass, detrital, and microalgal habitats.",aggregating,mobile,NA,filter feeder,generalist,juvenile salmon and other small fish,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
not in WORMS,1479,Trechus ovipennis,NA,insect,NA,NA,NA,adult,NA,NA,uncommon,Light & Smith,all,found in crevices and under loose stones. Adults are nocturnal and have predator/scavenger tendencies,solitary,mobile,NA,carnivore (scavenger + predator),generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
genus in WORMS but not species,2000,Triceratonema microlobatum,NA,nematode,NA,NA,"Point Pinos, Pacific Grove",adult,NA,N,unclear,Light & Smith,all,From holdfasts of Egregia on intertidal rocks,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,single record?,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
not in WORMS,1464,Trichocorixa verticalis californica,NA,insect,water boatmen,NA,Humboldt Bay to San Francisco Bay,adult,NA,N,present,Light & Smith,all,tide pools with T. reticulata,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Tricoma (Quadricoma) crassicomoides,2017,Tricoma crassicomoides,NA,nematode,NA,NA,"Point Pinos, Pacific Grove, CA",adult,NA,N,unclear,Light & Smith,all,Egregia holdfasts on rocks,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,single record?,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Tricoma (Quadricoma) loricata,2018,Tricoma loricata,NA,nematode,NA,NA,"Point Pinos, Pacific Grove, CA",adult,NA,N,unclear,Light & Smith,all,Egregia holdfasts on rocks,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,single record?,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Desmoscolex (Desmolorenzenia) parvus,2019,Tricoma parva,NA,nematode,NA,NA,"Jenner, CA",adult,NA,N,unclear,Light & Smith,all,"Egregia holdfasts, rocks",solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,single record?,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
not in WORMS,1867,Turbonilla victoriana,NA,snail,NA,NA,Columbia River to Point Conception,adult,NA,N,unclear,Light & Smith,all,"In gravel samples, tide pools; ectoparasitic on invertebrate hosts, in general",solitary,mobile,NA,parasite,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Typhlamphiascus pectinifer,1091,Typhlamphiascuspectinifer,NA,copepod,NA,zooplankton,"Monterey Bay, CA to Puget Sound",adult,NA,N,present,Light & Smith,all,"Monterey Bay tidal pools containing shell sand, stones, and algae. Occurs in a variety of lower intertidal/shallow subtidal habitats in Puget Sound.",aggregating,mobile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
no idea what's wrong with this one,1588,Typosyllis pulchra,NA,polychaete,NA,NA,Columbia River to Point Conception,adult,NA,N,present,Light & Smith,all,Among mussel and algal holdfasts,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
as is,601,Ulva sp.,NA,algae,ulva,NA,NA,adult,NA,Both,common,NA,all,NA,aggregating,sessile,NA,primary producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Genus,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
as is,267,Velutina sp.,NA,snail,NA,NA,NA,adult,NA,Both,rare,"Morris, Abbott, & Haderlie; light & Smith",low,"protected areas, under rocks, more common subtidally",solitary,mobile,ascidians,micropredator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Unidentified Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
as is,1821,Velutina sp.,NA,snail,NA,NA,Columbia River to Point Conception,eggs,NA,N,present,Light & Smith,low,egg masses laid on ascidians,aggregating,sessile,NA,non-feeding life stage,generalist,NA,ascidians,NA,NA,NA,NA,NA,NA,Taxonomic,Life Stage,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
no idea what's wrong with this one,1070,Zaus spinatus hopkinsi,NA,copepod,NA,zooplankton,NA,adult,NA,NA,present,Light & Smith,all,"Eelgrass, algae, and rock habitats from upper intertidal",aggregating,mobile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Subspecies,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
