Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Title,Publisher,Place,
1996,"Barry, James P.; Yoklavich, Mary M.; Cailliet, Gregor M.; Ambrose, David A.; Antrim, Brooke S.","Trophic ecology of the dominant fishes in Elkhorn Slough, California, 1974–1980",Estuaries,,0160-8347,10.2307/1352657,https://doi.org/10.2307/1352657,"Food habits of the dominant fishes collected from 1974 to 1980 at eight locations in Elkhorn Slough, California, and the adjacent ocean were investigated. Epifaunal crustacea was the major prey group identified from stomach contents of more than 2,000 fishes, followed by epifaunal and infaunal worms, and molluscs. Overall, 18 fish species consumed 263 different prey taxa, ranging from 10 taxa to 125 taxa per fish species and including 99 crustacean, 56 polychaete, and 39 molluscan taxa. Mean prey richness was greatest at stations near the ocean and lowest at inshore stations. Detailed dietary data for all prey taxa were summarized as trophic spectra for each fish species. Trophic spectra represented functional groups of prey and were used for comparisons of dietary similarity. Cluster analyses, based on trophic spectra, resulted in four feeding guilds of fishes. Of 18 fish species, seven (Amphistichus argenteus, Leptocottus armatus, Embiotoca jacksoni, Clevelandia ios, Gillichthys mirabilis, Cymatogaster aggregata, andCitharichthys stimaeus) fed principally on epifaunal crustacea. Four species (Pleuronectes vetulus, Platichthys stellatus, Phanerodon furcatus, andMyliobatus californica) consumed mostly molluscs and infaunal worms. Two species (Psettichthys melanostictus andTriakis semifasciata) fed on mobile crustacea, and five species (Hyperprosopon anale, Engraulis mordax, Clupea pallasi, Atherinopsis californiensis, andAtherinops affinis) fed largely on zooplankton and plant material. Our results suggest that high food availability enhances the nursery function of imshore habitats, and emphasize the importance of invertebrate prey populations and the indirect linkage of plant production to the ichthyofaunal assemblarly marine immigrant species that are likely ‘estuarine dependent’.",3/1/96,115-138,,1,19,,Estuaries,,,,,,,"Barry, J. P., Yoklavich, M. M., Cailliet, G. M., Ambrose, D. A., & Antrim, B. S. (1996). Trophic ecology of the dominant fishes in Elkhorn Slough, California, 1974–1980. Estuaries, 19(1), 115–138. https://doi.org/10.2307/1352657"
2010,"Bates, Amanda E.; Stickle, William B.; Harley, Christopher D. G.",Impact of temperature on an emerging parasitic association between a sperm-feeding scuticociliate and Northeast Pacific sea stars,Journal of Experimental Marine Biology and Ecology,,220981,10.1016/j.jembe.2009.12.001,,,2010,44-50,,2-Jan,384,,,,,,,,,"Bates, A. E., Stickle, W. B., & Harley, C. D. G. (2010). Impact of temperature on an emerging parasitic association between a sperm-feeding scuticociliate and Northeast Pacific sea stars. Journal of Experimental Marine Biology and Ecology, 384(1–2), 44–50. https://doi.org/10.1016/j.jembe.2009.12.001"
2003,"Batistić, Mirna; Mikuš, Josip; Njire, Jakica",Chaetognaths in the South Adriatic: vertical distribution and feeding,Journal of the Marine Biological Association of the United Kingdom,,"0025-3154, 1469-7769",10.1017/S0025315403008713,https://www.cambridge.org/core/product/identifier/S0025315403008713/type/journal_article,"Feeding and vertical distribution of pelagic chaetognaths were studied at coastal and open-sea stations in the northern part of the South Adriatic Pit during five cruises from April 1993 to February 1995. Chaetognaths were more numerous in the upper 100 m, decreased conspicuously with depth, and were captured only rarely between 600 and 1000 m. Copepods were the main food for the most abundant species in all layers. Cannibalism was evident in all species. Feeding on fertilized chaetognath eggs by               Pseudosagitta lyra               and               Mesosagitta decipiens               is reported for the first time. The food containing ratio (FCR) and number of prey items per chaetognath (NPC) of               Flaccisagitta enflata               were highest during the reproductive period. Higher FCRs and NPCs for               M. decipiens               and               P. lyra               were noted below 100 m, where the contribution of older specimens increased with depth and the abundance of copepods decreased.",2003-12,1301-1306,,6,83,,J. Mar. Biol. Ass.,Chaetognaths in the South Adriatic,,,,,,"Batistić, M., Mikuš, J., & Njire, J. (2003). Chaetognaths in the South Adriatic: Vertical distribution and feeding. Journal of the Marine Biological Association of the United Kingdom, 83(6), 1301–1306. https://doi.org/10.1017/S0025315403008713"
2023,"Bauer, Raymond T.",Symbioses,"Shrimps: Their Diversity, Intriguing Adaptations and Varied Lifestyles",978-3-031-20966-6,,,https://doi.org/10.1007/978-3-031-20966-6_10,"Numerous shrimp species live in intimate, long-term associations (symbioses) with invertebrates and gobiid fishes. Symbioses can be characterized as commensal, mutualistic, or, more rarely, parasitic. Symbioses are found in caridean and stenopodidean but not in dendrobranchiate shrimps. The morphology and feeding behavior of many symbiotic shrimps have been adapted to living with their hosts. A number of symbiotic shrimps live within the canals of sponges, receiving protection and food. The social organization of Synalpheus sponge shrimps varies from pair-living to communality to eusociality most similar to that of termites. Shrimps living with corals, anemones, and jellyfishes may both receive or give protection to their hosts, in addition to food and shelter. Many shrimp species live among the spines or below sea urchins. Other echinoderms, such as ophiuroids, starfishes, and especially crinoids, serve as shrimp hosts. Some shrimps live with molluscs, especially within shells of bivalves, feeding on the food-laden mucus or feces of the host. Still others have a similar lifestyle within branchial or atrial chambers of ascidians. Some shrimps share the burrows made by invertebrates and other crustaceans. A unique mutualistic relationship has evolved between alpheid shrimps and gobiid fishes, in which a male–female shrimp pair give the fish shelter in their burrow while the fish provides both food and a warning system. Some shrimps clean ectoparasites and injured tissues from fishes. The shrimp cleaner and fish client have evolved communication so that the shrimps can clean without danger of predation. Hypotheses on the evolution of shrimp symbioses are evaluated.",2023,515-581,,,,,,,,,,Springer International Publishing,Cham,"Bauer, R. T. (2023). Symbioses. In R. T. Bauer (Ed.), Shrimps: Their Diversity, Intriguing Adaptations and Varied Lifestyles (pp. 515–581). Springer International Publishing. https://doi.org/10.1007/978-3-031-20966-6_10"
2009,"Beeler, Heather E",COMMUNITY SUCCESSION IN MACROALGAL WRACK: IMPLICATIONS FOR PREY RESOURCES OF BREEDING WESTERN SNOWY PLOVERS (CHARADRIUS ALEXANDRINUS NIVOSUS) ON NORTHERN CALIFORNIA BEACHES.,,,,,,,2009,,,,,,,,,,,Humboldt State University,,"Beeler, H. E. (2009). COMMUNITY SUCCESSION IN MACROALGAL WRACK: IMPLICATIONS FOR PREY RESOURCES OF BREEDING WESTERN SNOWY PLOVERS (CHARADRIUS ALEXANDRINUS NIVOSUS) ON NORTHERN CALIFORNIA BEACHES. [Master of Science]. Humboldt State University."
2007,"Behrens, Michael D; Lafferty, Kevin D",Temperature and diet effects on omnivorous fish performance: implications for the latitudinal diversity gradient in herbivorous fishes,Canadian Journal of Fisheries and Aquatic Sciences,,"0706-652X, 1205-7533",10.1139/f07-063,http://www.nrcresearchpress.com/doi/10.1139/f07-063,"Herbivorous fishes show a clear latitudinal diversity gradient, making up a larger proportion of the fish species in a community in tropical waters than in temperate waters. One proposed mechanism that could drive this gradient is a physiological constraint due to temperature. One prediction based on this mechanism is that if herbivorous fishes could shift their diet to animal material, they would be better able to grow, survive, and reproduce in cold waters. We tested this prediction on the omnivore Girella nigricans under different temperature and diet regimes using RNA–DNA ratios as an indicator of performance. Fish had increased performance (100%) at low temperatures (12 °C) when their diet was supplemented with animal material. In contrast, at higher temperatures (17, 22, and 27 °C) fish showed no differences between diets. This indicates that omnivorous fishes could increase their performance at low temperatures by consuming more animal matter. This study supports the hypothesis that a relative increase in the nutritional value of plant material at warmer temperatures could drive the latitudinal diversity gradient in herbivorous fishes.",6/29/07,867-873,,6,64,,Can. J. Fish. Aquat. Sci.,Temperature and diet effects on omnivorous fish performance,,,,,,"Behrens, M. D., & Lafferty, K. D. (2007). Temperature and diet effects on omnivorous fish performance: Implications for the latitudinal diversity gradient in herbivorous fishes. Canadian Journal of Fisheries and Aquatic Sciences, 64(6), 867–873. https://doi.org/10.1139/f07-063"
2012,"Behrens, Michael D.; Lafferty, Kevin D.",Geographic Variation in the Diet of Opaleye (Girella nigricans) with Respect to Temperature and Habitat,PLOS ONE,,1932-6203,10.1371/journal.pone.0045901,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0045901,"We studied diet variation in an omnivorous fish across its range, which allowed us to test predictions about the effect of ocean temperature and habitat on herbivory. Throughout most of its geographic range, from Southern California to central Baja California, the opaleye (Girella nigricans) fed primarily on red and green algae, but there was significant variation in the amount of algal material in the diet among sites. The proportion of algal material in the diet was related to habitat, with algae making up a larger proportion of a fish’s diet in algal-dominated habitats than in urchin barrens. Independent of habitat, the proportion of algal material in the diet increased with environmental temperature. Analyses of stable isotopes revealed similar changes in trophic position and confirmed that these associations with diet persisted over relatively long time scales. The shift to a more herbivorous diet at warmer temperatures is in agreement with past laboratory studies on this species that show a diet-dependent change in performance with temperature and can indicate a diet shift across the species’ geographic range to meet its physiological demands. A possible plastic response to herbivory was a longer gut relative to body size. The results of this study are consistent with past findings that associate temperature with increases in the relative diversity of herbivorous fishes in tropical parts of the ocean.",9/21/12,e45901,,9,7,,PLOS ONE,,,,,,,"Behrens, M. D., & Lafferty, K. D. (2012). Geographic Variation in the Diet of Opaleye (Girella nigricans) with Respect to Temperature and Habitat. PLOS ONE, 7(9), e45901. https://doi.org/10.1371/journal.pone.0045901"
1960,"Benson, P. H.",A Pycnogonid infestation of <i>Mytilus californicus</i>,The Veliger,,,,,,1960,16-18,,,3,,,,,,,,,"Benson, P. H. (1960). A Pycnogonid infestation of Mytilus californicus. The Veliger, 3, 16–18."
1968,"Beondé, Anthon Craig","<i>Aplysia vaccaria</i>, a new host for the pinnotherid crab <i>Opisthopus transversus</i>",The Veliger,,,,,,1968,375-378,,,10,,,,,,,,,"Beondé, A. C. (1968). Aplysia vaccaria, a new host for the pinnotherid crab Opisthopus transversus. The Veliger, 10, 375–378."
1979,"Bernard, F R",The Food of Hecate Strait Crabs August 1977,,,,,,"Bernard, F. R. 1979. The food of Hecate Strait crabs, August 1977. Fish. Mar. Serv. HS Rep. 1464: 23 p.",1979,,,,,,,,,,Fisheries and Marine Service Manuscript Report,Department of Fisheries and the Environment,"Pacific Biological Station, Nanaimo, British Columbia","Bernard, F. R. (1979). The Food of Hecate Strait Crabs August 1977 (Manuscript Report 1464; Fisheries and Marine Service Manuscript Report). Department of Fisheries and the Environment."
2014,"Best, Rebecca J.; Stachowicz, John J.",Phenotypic and phylogenetic evidence for the role of food and habitat in the assembly of communities of marine amphipods,Ecology,,1939-9170,10.1890/13-0163.1,https://onlinelibrary.wiley.com/doi/abs/10.1890/13-0163.1,"The study of community assembly processes currently involves (a) long-standing questions about the relative importance of environmental filtering vs. niche partitioning in a wide range of ecosystems, and (b) more recent questions about methodology. The rapidly growing field of community phylogenetics has generated debate about the choice between functional traits and phylogenetic relationships for understanding species similarities, and has raised additional questions about the contribution of experimental vs. observational approaches to understanding evolutionary constraints on community assembly. In this study, we use traits, a phylogeny, and field surveys to identify the forces structuring communities of herbivorous marine amphipods and isopods living in adjacent seagrass and macroalgae. In addition, we compare our field results to a recently published mesocosm experiment that tested the effects of both trait and phylogenetic diversity on coexistence using the same species and system. With respect to community assembly processes, we found that environmental filtering was the dominant process in macroalgae habitats, that niche partitioning was the dominant process in seagrass habitats, and that the strength of these assembly mechanisms varied with seasonal fluctuations in environmental conditions and resource availability. These patterns are indicated by both phylogenetic relationships and trait distances, but the type of resources being partitioned in seagrass habitats can only be deciphered using trait data. Species coexisting in seagrass in the field differed not in their feeding niche but in traits related to microhabitat use, providing novel evidence of the relative importance of competition for food vs. habitat in structuring communities of phytophagous invertebrates. With respect to methodology, the results for seagrass habitats conflict with those obtained in mesocosms, where feeding trait diversity did promote coexistence and phylogenetic diversity had no effect. This contrast arises because a greater range of traits (some of which have much stronger phylogenetic signal than feeding traits) contribute to community assembly in the field. This highlights a mismatch between the processes that drive community assembly in the field and the processes we isolated in experimental tests, and illustrates that using phylogeny as a single proxy in both contexts may impede the synthesis of observational and experimental results.",2014,775-786,,3,95,,,,,,,,,"Best, R. J., & Stachowicz, J. J. (2014). Phenotypic and phylogenetic evidence for the role of food and habitat in the assembly of communities of marine amphipods. Ecology, 95(3), 775–786. https://doi.org/10.1890/13-0163.1"
