publication_year,firstauthor,title,reference
2022,Negromonte,"Three new species of the genus cleantioides kensley and kaufman, 1978 (isopoda: valvifera) from brazil, with new record of the family holognathidae from brazil","Negromonte, Aurinete Oliveira; Lucatelli, Debora; Paiva, Ricardo José de Carvalho; Souza-Filho, Jesser F.. 2022. Three new species of the genus cleantioides kensley and kaufman, 1978 (isopoda: valvifera) from brazil, with new record of the family holognathidae from brazil. Journal of Natural History. 56. 13-16. 923‚Äì941. 10.1080/00222933.2022.2056538"
1954,Hand,"Three pacific species of ""lar"" (including a new species), their hosts, medusae, and relationships.","Hand, Cadet. 1954. Three pacific species of ""lar"" (including a new species), their hosts, medusae, and relationships.. Pacific Science. 8. 51-67"
1961,Ching,Three trematodes from the harlequin duck,"Ching, Hilda Lei. 1961. Three trematodes from the harlequin duck. Canadian Journal of Zoology. 39. 3. 373-376. 10.1139/z61-041"
2000,Ackerman,"Tidal influence on spatial dynamics of leopard sharks, triakis semifasciata, in tomales bay, california","Ackerman, Joshua T.; Kondratieff, Matthew C.; Matern, Scott A.; Cech, Joseph J.. 2000. Tidal influence on spatial dynamics of leopard sharks, triakis semifasciata, in tomales bay, california. Environmental Biology of Fishes. 58. 1. 33-43. 10.1023/A:1007657019696"
2015,Koenigs,Top predators rely on carbon derived from giant kelp macrocystis pyrifera,"Koenigs, Craig; Miller, Robert J.; Page, Henry M.. 2015. Top predators rely on carbon derived from giant kelp macrocystis pyrifera. Marine Ecology Progress Series. 537. 8-Jan. 10.3354/meps11467"
1993,Setran,"Transitional ecological requirements for early juveniles of two sympatric stichaeid fishes,cebidichthys violaceus andxiphister mucosus","Setran, Aaron Carr; Behrens, David W.. 1993. Transitional ecological requirements for early juveniles of two sympatric stichaeid fishes,cebidichthys violaceus andxiphister mucosus. Environmental Biology of Fishes. 37. 4. 381-395. 10.1007/BF00005205"
1996,Barry,"Trophic ecology of the dominant fishes in elkhorn slough, california, 1974‚Äì1980","Barry, James P.; Yoklavich, Mary M.; Cailliet, Gregor M.; Ambrose, David A.; Antrim, Brooke S.. 1996. Trophic ecology of the dominant fishes in elkhorn slough, california, 1974‚Äì1980. Estuaries. 19. 1. 115-138. 10.2307/1352657"
1986,Miles,Turf assemblage of a macrocystis kelp forest: experiments on competition and herbivory,"Miles, A. Keith. 1986. Turf assemblage of a macrocystis kelp forest: experiments on competition and herbivory. Oregon State University"
2011,Nekhaev,Two species of parasitic molluscs new for russian seas,"Nekhaev, Ivan O.. 2011. Two species of parasitic molluscs new for russian seas. Ruthenica, Russian Malacological Journal. 21. 1"
2001,Gaymer,Use of prey resources by the seastars leptasterias polaris and asterias vulgaris: a comparison between field observations and laboratory experiments,"Gaymer, Carlos F; Himmelman, John H; Johnson, Ladd E. 2001. Use of prey resources by the seastars leptasterias polaris and asterias vulgaris: a comparison between field observations and laboratory experiments. Journal of Experimental Marine Biology and Ecology. 262. 1. 13-30. 10.1016/S0022-0981(01)00264-7"
2004,Drolet,Use of refuges by the ophiuroid ophiopholis aculeata: contrasting effects of substratum complexity on predation risk from two predators,"Drolet, David; Himmelman, John H.; Rochette, Rémy. 2004. Use of refuges by the ophiuroid ophiopholis aculeata: contrasting effects of substratum complexity on predation risk from two predators. Marine Ecology Progress Series. 284. 173-183. 10.3354/meps284173"
2011,Lannin,Variable prey density modifies the effects of seagrass habitat structure on predator‚àíprey interactions,"Lannin, Rachel; Hovel, Kevin. 2011. Variable prey density modifies the effects of seagrass habitat structure on predator‚àíprey interactions. Marine Ecology Progress Series. 442. 59-70. 10.3354/meps09393"
2018,Hofmeister,"Variation in octopus bimaculatus verrill, 1883 diet as revealed through Œ¥13c and Œ¥15n stable isotope analysis: potential indirect effects of marine protected areas","Hofmeister, Jennifer K. K.. 2018. Variation in octopus bimaculatus verrill, 1883 diet as revealed through 13c and 15n stable isotope analysis: potential indirect effects of marine protected areas. American Malacological Bulletin. 36. 1. 96-108. 10.4003/006.036.0103"
2005,Papastamatiou,Variations in gastric acid secretion during periods of fasting between two species of shark,"Papastamatiou, Yannis P.; Lowe, Christopher G.. 2005. Variations in gastric acid secretion during periods of fasting between two species of shark. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology. 141. 2. 210-214. 10.1016/j.cbpb.2005.05.041"
1997,Ballard,"Vertical distribution, morphology and diet of proboscidactyla stellata (cnidaria: limnomedusae) in lough hyne marine nature reserve, co. Cork, ireland","Ballard, L.; Myers, A.. 1997. Vertical distribution, morphology and diet of proboscidactyla stellata (cnidaria: limnomedusae) in lough hyne marine nature reserve, co. Cork, ireland. Journal of the Marine Biological Association of the United Kingdom. 77. 4. 999-1009. 10.1017/S0025315400038583"
2007,Bachman,Viable algae released by the seastar dermasteriasimbricata feeding on the symbiotic sea anemone anthopleura elegantissima,"Bachman, Sarah; Muller-Parker, Gisèle. 2007. Viable algae released by the seastar dermasteriasimbricata feeding on the symbiotic sea anemone anthopleura elegantissima. Marine Biology. 150. 3. 369-375. 10.1007/s00227-006-0344-y"
2018,Zilz,"Wasted and castrated: two diseases affecting the ochre star, pisaster ochraceus, in north america","Zilz, Zoë. 2018. Wasted and castrated: two diseases affecting the ochre star, pisaster ochraceus, in north america. WWU Graduate School Collection. https://doi.org/10.25710/15e0-cg55"
2015,Sander,What can interaction webs tell us about species roles?,"Sander, Elizabeth L.; Wootton, J. Timothy; Allesina, Stefano. 2015. What can interaction webs tell us about species roles?. PLOS Computational Biology. 11. 7. e1004330. 10.1371/journal.pcbi.1004330"
1984,Harvell,Why nudibranchs are partial predators: intracolonial variation in bryozoan palatability,"Harvell, Drew. 1984. Why nudibranchs are partial predators: intracolonial variation in bryozoan palatability. Ecology. 65. 3. 716-724. 10.2307/1938043"
